gid,estado,fecha_carga
2191,0,2023-05-03 8:00:00
2192,0,2023-05-03 8:00:00
2198,0,2023-05-03 8:00:00
2164,0,2023-05-03 8:00:00
2169,0,2023-05-03 8:00:00
2171,0,2023-05-03 8:00:00
2174,0,2023-05-03 8:00:00
2229,0,2023-05-03 8:00:00
2199,0,2023-05-03 8:00:00
2205,0,2023-05-03 8:00:00
2201,0,2023-05-03 8:00:00
2202,0,2023-05-03 8:00:00
1862,4,2023-05-03 8:00:00
1893,0,2023-05-03 8:00:00
1900,0,2023-05-03 8:00:00
1890,0,2023-05-03 8:00:00
1875,0,2023-05-03 8:00:00
1907,0,2023-05-03 8:00:00
1899,0,2023-05-03 8:00:00
1874,0,2023-05-03 8:00:00
1912,0,2023-05-03 8:00:00
1949,0,2023-05-03 8:00:00
1869,0,2023-05-03 8:00:00
1905,0,2023-05-03 8:00:00
1931,0,2023-05-03 8:00:00
1921,0,2023-05-03 8:00:00
1955,0,2023-05-03 8:00:00
1922,0,2023-05-03 8:00:00
1864,0,2023-05-03 8:00:00
1929,5,2023-05-03 8:00:00
1938,5,2023-05-03 8:00:00
1919,5,2023-05-03 8:00:00
1918,0,2023-05-03 8:00:00
1915,0,2023-05-03 8:00:00
1958,0,2023-05-03 8:00:00
1926,0,2023-05-03 8:00:00
1927,0,2023-05-03 8:00:00
1941,0,2023-05-03 8:00:00
1946,0,2023-05-03 8:00:00
1956,0,2023-05-03 8:00:00
1868,0,2023-05-03 8:00:00
1878,0,2023-05-03 8:00:00
1880,0,2023-05-03 8:00:00
1882,0,2023-05-03 8:00:00
1999,0,2023-05-03 8:00:00
2049,5,2023-05-03 8:00:00
1976,0,2023-05-03 8:00:00
1965,0,2023-05-03 8:00:00
1964,0,2023-05-03 8:00:00
2044,0,2023-05-03 8:00:00
2053,0,2023-05-03 8:00:00
2029,0,2023-05-03 8:00:00
1969,0,2023-05-03 8:00:00
2041,0,2023-05-03 8:00:00
1979,0,2023-05-03 8:00:00
2009,0,2023-05-03 8:00:00
1994,0,2023-05-03 8:00:00
