gid;angulo;fecha_actua;hora_actual;idpm;ih;created_use;created_dat;last_edited;last_edited.1
27409;225;;;2052;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27406;61;;;238;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27405;121;;;3641;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27404;231;;;1448;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27403;288;;;4025;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27398;166;;;436;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27393;71;;;1447;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27389;223;;;3412;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27384;261;;;2330;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27382;254;;;1546;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27381;251;;;1445;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27494;120;;;835;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27514;211;;;232;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27515;288;;;4025;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27521;225;;;2052;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27524;40;;;3934;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27526;90;;;2543;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27529;168;;;931;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27531;153;;;3832;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27533;83;;;4124;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27536;194;;;1544;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27537;247;;;1226;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27538;119;;;2253;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27540;317;;;1336;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27548;326;;;1446;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27552;102;;;2761;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27553;251;;;1445;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27558;31;;;3410;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27563;138;;;1337;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27565;121;;;432;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27575;210;;;2268;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27577;210;;;437;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27582;122;;;2762;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27595;166;;;334;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27596;161;;;3131;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27597;65;;;1160;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27602;160;;;1334;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27604;90;;;536;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27611;31;;;2254;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27612;261;;;2330;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
